Título,Autor,Ano,Tipo,Prioridade,Status,Disponivel,Categoria,Motivacao,Nota,Data_Leitura,Score
Build a Large Language Model (From Scratch),Sebastian Raschka,2024,Técnico,4 - Alta,2,PDF,Sistemas de IA & LLMs,,,,29
1984,George Orwell,1949,Não Técnico,4 - Alta,0,Estante,Épicos & Ficção Reflexiva,Distopia clássica sobre totalitarismo,5.0,2025/01,25
Python Fluente,Luciano Ramalho,2023,Técnico,4 - Alta,1,Online,Artesanato de Software (Clean Code),https://pythonfluente.com/2/,,,26
Low-Code AI: A Practical Project-Driven Introduction to Machine Learning,Stripling,2023,Técnico,4 - Alta,1,,Engenharia de ML & MLOps,Introdução prática ao Machine Learning usando plataformas low-code. IA e MLOps,,,30
"Pai Rico, Pai Pobre",Robert Kiyosaki,1997,Não Técnico,4 - Alta,1,Estante,Liberdade Econômica & Finanças,Fundamentos de educação financeira e investimentos.,,,27
Generative Deep Learning,David Foster,2023,Técnico,4 - Alta,1,PDF,Sistemas de IA & LLMs,,,,30
Simple SQL,Preston Prescott,2015,Técnico,4 - Alta,1,PDF,Storytelling & Visualização,"O domínio de SQL é uma habilidade fundamental para qualquer profissional de dados, análise ou desenvolvimento. Este livro proporciona uma base para manipular e extrair informações, sendo crucial no seu dia a dia.",,,26
Image classification with AutoKeras,Manning live project,0,Técnico,4 - Alta,1,,Machine learning,,,,25
Think Stats,Allen B. Downey,2025,Técnico,4 - Alta,1,PDF,Estatística & Incerteza,https://allendowney.github.io/ThinkStats/index.html,,,30
Machine Learning Yearning,Andrew Ng,2018,Técnico,4 - Alta,1,PDF,Sistemas de IA & LLMs,Dominar os pilares fundamentais da inteligência artificial moderna.,,,28
Automated machine learning in action,Qingquan Song et al.,0,Técnico,4 - Alta,1,,Engenharia de ML & MLOps,Dominar os pilares fundamentais da inteligência artificial moderna.,,,25
Sobre a escrita: A arte em memórias ,Stephen King,2015,Não Técnico,4 - Alta,1,,Épicos & Ficção Reflexiva,Explorar a fronteira tecnológica e seus impactos na sociedade.,,,24
"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow",Aurélien Géron,2022,Técnico,4 - Alta,1,,Machine learning,"Complementa o ""Deep Learning with Python"" do Chollet, oferecendo uma visão mais ampla e prática de ML em geral, com foco em implementação. Essencial para quem quer aplicar ML de forma eficaz.",,,30
Deep Learning,Ian Goodfellow & Yoshua Bengio & Aaron Courville,2016,Técnico,4 - Alta,1,PDF,Sistemas de IA & LLMs,,,,28
Machine Learning Engineering,Andriy Burkov,2020,Técnico,4 - Alta,1,,Sistemas de IA & LLMs,Aprofundar em engenharia de Machine Learning para produção.,,,30
Transformers for Natural Language Processing,Denis Rothman,2024,Técnico,3 - Média-Alta,1,PDF,Sistemas de IA & LLMs,,,,27
Sapiens: Uma Breve História da Humanidade,Yuval Noah Harari,2011,Não Técnico,4 - Alta,1,,Cosmologia & Fronteiras da Ciência,Ampla perspectiva sobre a história da humanidade e o futuro.,,,28
An Introduction to Statistical Learning,Gareth James,2023,Técnico,4 - Alta,1,PDF,Estatística & Incerteza,https://www.statlearning.com/,,,30
Eloquent JavaScript,Marijn Haverbeke,2024,Técnico,4 - Alta,1,,Artesanato de Software (Clean Code),https://eloquentjavascript.net/,,,26
Deep Learning for Computer Vision with Python (Practitioner Bundle),Adrian Rosebrock,2019,Técnico,4 - Alta,1,,Sistemas de IA & LLMs,Aprofundar conhecimentos em Deep Learning aplicado à Visão Computacional com Python.,,,30
Deep Learning for Computer Vision with Python (Starter Bundle),Adrian Rosebrock,2019,Técnico,4 - Alta,1,PDF,Sistemas de IA & LLMs,Aprofundar conhecimentos em Deep Learning aplicado à Visão Computacional com Python.,,,30
A Jornada do Escritor: Estrutura mítica para escritores,Christopher Vogler,2024,Não Técnico,4 - Alta,1,,Comunicação,,,,26
Guia Front-End: O caminho das pedras para ser um dev Front-End,Diego Eis,2015,Técnico,3 - Média-Alta,1,,Sistemas de IA & LLMs,Explorar a fronteira tecnológica e seus impactos na sociedade.,,,21
Feature Engineering for Machine Learning,"Alice Zheng, Amanda Casari",2018,Técnico,4 - Alta,1,PDF,Engenharia de ML & MLOps,Otimize modelos extraindo o melhor dos dados.,,,28
HTML5 e CSS3: Domine a web do futuro,Lucas Mazza,2014,Técnico,3 - Média-Alta,1,,Programação,,,,21
Machine Learning a first course for engineers and scientists,Andreas Lindholm et al.,0,Técnico,3 - Média-Alta,1,,Machine learning,Dominar os pilares fundamentais da inteligência artificial moderna.,,,22
An Introduction to Statistical Learning,Gareth James et al.,0,Técnico,3 - Média-Alta,1,,Estatística & Incerteza,,,,22
Inteligência Emocional,Daniel Goleman,1995,Não Técnico,4 - Alta,1,,Arquitetura da Mente (Mindset),Desenvolver a capacidade de gerenciar emoções e relacionamentos.,,,28
Designing Machine Learning Systems,Chip Huyen,2022,Técnico,4 - Alta,1,,Engenharia de ML & MLOps,Design de sistemas de ML em larga escala.,,,28
Computer Vision: Algorithms and Applications,Richard Szeliski,2021,Técnico,3 - Média-Alta,1,,Artesanato de Software (Clean Code),Compreender algoritmos e aplicações de visão computacional.,,,27
A Cor dos Dados: Um guia para o uso de cores em storytelling de dados,Kate Strachnyi,2023,Técnico,4 - Alta,1,,Storytelling & Visualização,Explorar a fronteira tecnológica e seus impactos na sociedade.,,,28
Practical MLOps,"Noah Gift, Alfredo Deza",2021,Técnico,4 - Alta,1,,Engenharia de ML & MLOps,Guia prático para implementar MLOps.,,,28
Data Science for Business,"Foster Provost, Tom Fawcett",2013,Técnico,4 - Alta,1,,Storytelling & Visualização,Como a ciência de dados pode ser aplicada para resolver problemas de negócios e gerar valor. Negócios e dados,,,28
Razão e Sensibilidade,Jane Austen,1811,Não Técnico,4 - Alta,1,Estante,Épicos & Ficção Reflexiva,Contraste entre lógica e emoção,,,25
Uma Breve História do Tempo,Stephen Hawking,1988,Técnico,3 - Média-Alta,1,PDF,Cosmologia & Fronteiras da Ciência,"Explora conceitos de cosmologia, buracos negros, universo e tempo de forma acessível. Ciência acessível sobre o universo",,,27
Business Intelligence: Implementar do jeito certo e a custo zero,Ronaldo Braghitton,2017,Técnico,4 - Alta,1,,Análise de Dados,Visualização de dados,,,26
Persuasão,Jane Austen,1817,Não Técnico,4 - Alta,1,Estante,Épicos & Ficção Reflexiva,Romance maduro e delicado,,,25
Data Analytics For Beginners,Victor Finch,2023,Técnico,3 - Média-Alta,1,,Estatística & Incerteza,"É o livro perfeito para quem está iniciando no universo de dados, oferecendo uma visão global e acessível que serve como um excelente ponto de partida na sua transição de carreira.",,,25
Soft skills: competências essenciais para os novos tempos,Lucedile Antunes,2020,Não Técnico,4 - Alta,1,,Sistemas de IA & LLMs,Explorar a fronteira tecnológica e seus impactos na sociedade.,,,24
Soft Skills - Vol 2: habilidades do futuro para o profissional do agora,Lucedile Antunes,2021,Não Técnico,4 - Alta,1,,Desenvolvimento pessoal,,,,24
Comunicação Não Violenta,Marshall Rosenberg,1999,Não Técnico,4 - Alta,1,,Comunicação,Melhorar a comunicação interpessoal no trabalho e na vida.,,,26
A Coragem de Não Agradar,"Ichiro Kishimi, Fumitake Koga",2013,Não Técnico,4 - Alta,1,,Arquitetura da Mente (Mindset),Libertar-se da necessidade de aprovação e viver autenticamente.,,,26
O Poder da Ação,Paulo Vieira,2017,Não Técnico,4 - Alta,1,,Arquitetura da Mente (Mindset),Transformar metas em realidade através de ações consistentes.,,,26
O Poder da Empatia,Brené Brown,2013,Não Técnico,4 - Alta,1,,Arquitetura da Mente (Mindset),Cultivar a empatia para melhorar relacionamentos e liderança.,,,26
JavaScript: O Guia Definitivo,David Flanagan ,2012,Técnico,2 - Média,1,,Sistemas de IA & LLMs,Explorar a fronteira tecnológica e seus impactos na sociedade.,,,18
A Sutil Arte de Ligar o F*da-se,Mark Manson,2016,Não Técnico,4 - Alta,1,,Desenvolvimento pessoal,Abordagem irreverente sobre felicidade e valores.,,,26
A Guerra da Arte,Steven Pressfield,2002,Não Técnico,4 - Alta,1,,Produtividade,Superar a resistência e a procrastinação na busca por objetivos criativos.,,,26
GPU Programming with C++ and CUDA: Uncover effective techniques for writing efficient GPU-parallel C++ applications,Paulo Motta,2025,Técnico,3 - Média-Alta,1,PDF,Artesanato de Software (Clean Code),,,,23
O Príncipe,Nicolau Maquiavel,1532,Não Técnico,3 - Média-Alta,1,,Liderança & Pensamento Estratégico,Compreender a natureza do poder e da liderança política.,,,25
A Arte da Guerra,Sun Tzu,0,Não Técnico,3 - Média-Alta,1,,Liderança & Pensamento Estratégico,Princípios de estratégia aplicáveis a diversas áreas da vida.,,,25
Comece pelo Porquê,Simon Sinek,2009,Não Técnico,3 - Média-Alta,1,,Liderança & Pensamento Estratégico,Descobrir o propósito para inspirar a si mesmo e aos outros.,,,25
Liderança sem Título,Robin Sharma,2010,Não Técnico,4 - Alta,1,,Liderança & Pensamento Estratégico,"Assumir a liderança em qualquer posição, sem depender de um título.",,,26
O Milagre da Manhã,Hal Elrod,2012,Não Técnico,4 - Alta,1,,Arquitetura da Mente (Mindset),Criar uma rotina matinal para maximizar o potencial diário.,,,26
O Poder do Hábito,Charles Duhigg,2012,Não Técnico,4 - Alta,1,,Arquitetura da Mente (Mindset),Entender a ciência por trás dos hábitos para melhorá-los.,,,26
O Poder da Vulnerabilidade,Brené Brown,2012,Não Técnico,4 - Alta,1,,Arquitetura da Mente (Mindset),Aprofundar na importância da vulnerabilidade para conexões autênticas.,,,26
A Coragem de Ser Imperfeito,Brené Brown,2012,Não Técnico,4 - Alta,1,,Arquitetura da Mente (Mindset),"Abraçar a vulnerabilidade, cultivar a autenticidade e superar a vergonha para uma vida plena.",,,26
Lógica de programação com Portugol,"Joice Barbosa Mendes, Rafael da Silva Muniz",2022,Técnico,3 - Média-Alta,1,,Programação,,,,23
Como Fazer Amigos e Influenciar Pessoas,Dale Carnegie,1936,Não Técnico,4 - Alta,1,,Sistemas de IA & LLMs,Desenvolver habilidades de comunicação e relacionamento interpessoal para o sucesso na vida e na carreira.,,,26
Atlas do coracao,Brene Brown,0,Não Técnico,3 - Média-Alta,1,PDF,Inteligência emocional,,,,20
Harry Potter e a Pedra Filosofal,J.K. Rowling,1997,Não Técnico,3 - Média-Alta,1,Estante,Épicos & Ficção Reflexiva,Início da jornada mágica de Harry,,,22
Harry Potter e a Câmara Secreta,J.K. Rowling,1998,Não Técnico,3 - Média-Alta,1,Estante,Épicos & Ficção Reflexiva,Segredos antigos e mistérios de Hogwarts,,,22
Harry Potter e o Prisioneiro de Azkaban,J.K. Rowling,1999,Não Técnico,3 - Média-Alta,1,Estante,Épicos & Ficção Reflexiva,Mistérios do passado e novos aliados,,,22
Harry Potter e o Cálice de Fogo,J.K. Rowling,2000,Não Técnico,3 - Média-Alta,1,Estante,Épicos & Ficção Reflexiva,Torneio perigoso e retorno de Voldemort,,,22
Designing Machine Learning Systems,Chip Huyen,2022,Técnico,3 - Média-Alta,1,,Engenharia de ML & MLOps,Dominar os pilares fundamentais da inteligência artificial moderna.,,,27
Harry Potter e a Ordem da Fênix,J.K. Rowling,2003,Não Técnico,3 - Média-Alta,1,Estante,Épicos & Ficção Reflexiva,Resistência contra o Ministério da Magia,,,22
O pensamento lateral,Edward de Bono,1970,Não Técnico,3 - Média-Alta,1,,Conhecimento geral,,,,20
Harry Potter e o Enigma do Príncipe,J.K. Rowling,2005,Não Técnico,3 - Média-Alta,1,Estante,Épicos & Ficção Reflexiva,Segredos sombrios de Voldemort,,,22
Harry Potter e as Relíquias da Morte,J.K. Rowling,2007,Não Técnico,3 - Média-Alta,1,Estante,Épicos & Ficção Reflexiva,Desfecho épico da saga,,,25
Jogador Nº 1,Ernest Cline,2011,Não Técnico,3 - Média-Alta,1,Estante,Épicos & Ficção Reflexiva,Ficção científica e cultura pop,,,25
Maisie Dobbs,Jacqueline Winspear,2003,Não Técnico,3 - Média-Alta,1,Estante,Sistemas de IA & LLMs,Detetive feminina no pós-guerra,,,22
Para Sempre,Kim e Krickitt Carpenter,2000,Não Técnico,3 - Média-Alta,1,Estante,História/Ficção,História real de amor e superação,,,22
Understanding deep learning,Simon J. S. Prince,0,Técnico,2 - Média,1,,Sistemas de IA & LLMs,,,,19
Practical Statistics for Data Scientists,"Peter Bruce, Andrew Bruce, Peter Gedeck",2020,Técnico,2 - Média,1,,Estatística & Incerteza,Reforçar os fundamentos estatísticos essenciais para a Ciência de Dados.,,,24
O Homem Mais Rico da Babilônia,George S. Clason,1926,Não Técnico,4 - Alta,1,,Liberdade Econômica & Finanças,Princípios atemporais de gestão financeira.,,,25
Ethics of Artificial Intelligence,Mark Coeckelbergh,2020,Não Técnico,3 - Média-Alta,1,,Sistemas de IA & LLMs,Compreender as implicações éticas da IA.,,,24
Building Machine Learning Pipelines,"Hannes Hapke, Catherine Nelson",2020,Técnico,2 - Média,1,,Engenharia de ML & MLOps,Dominar os pilares fundamentais da inteligência artificial moderna.,,,22
AI Ethics,"Anthony Casey, Anthony Niblett",2021,Não Técnico,3 - Média-Alta,1,,Sistemas de IA & LLMs,Visão jurídica e ética sobre IA.,,,24
Os Segredos da Mente Milionária,T. Harv Eker,2005,Não Técnico,4 - Alta,1,,Liberdade Econômica & Finanças,Mudar a mentalidade sobre dinheiro e riqueza.,,,25
O Mundo de Sofia,Jostein Gaarder,1991,Não Técnico,2 - Média,1,Estante,Sistemas de IA & LLMs,Introdução à história da filosofia de forma acessível.,,,24
Hábitos Atômicos,James Clear,2018,Não Técnico,3 - Média-Alta,1,PDF,Arquitetura da Mente (Mindset),Construir rotinas saudáveis e eficazes para estudos e vida pessoal.,,,23
Arquitetura Limpa,Robert C. Martin,2017,Técnico,3 - Média-Alta,1,,Artesanato de Software (Clean Code),Princípios para projetar sistemas de software com uma arquitetura sólida e flexível. Estruturação de projetos,,,23
Quem tem medo do feminismo negro?,Djamila Ribeiro,2018,Não Técnico,4 - Alta,1,,Justiça Social & Interseccionalidade,Aprofundar no feminismo e suas interseccionalidades.,,,24
Pequeno Manual Antirracista,Djamila Ribeiro,2019,Não Técnico,4 - Alta,1,,Justiça Social & Interseccionalidade,Compreender e combater o racismo estrutural.,,,24
Pense em Python,,0,Técnico,3 - Média-Alta,1,,Artesanato de Software (Clean Code),Excelência técnica na linguagem base para engenharia de dados e IA.,,,18
