,#,Título,Autor,Ano (pub.),Tipo,Prioridade,"Status (2 lendo, 1 a ler e 0 lido)",Disponível em,Categoria,Motivação,i,"minha opinião (1 a 5, amei)",Lido em,Status_Label,Score_Importancia
0,1,Build a Large Language Model (From Scratch),Sebastian Raschka,2024,Técnico,4 - Alta,2,PDF,Sistemas de IA & LLMs,,32,,,Lendo,32
1,1,1984,George Orwell,1949,Não Técnico,4 - Alta,2,Estante,Épicos & Ficção Reflexiva,Distopia clássica sobre totalitarismo,25,5,2025/01,Lendo,25
2,3,Python Fluente,Luciano Ramalho,2023,Técnico,4 - Alta,1,Online,Artesanato de Software (Clean Code),https://pythonfluente.com/2/,29,,,A Ler,29
3,4,Low-Code AI: A Practical Project-Driven Introduction to Machine Learning,Stripling,2023,Técnico,4 - Alta,1,,Engenharia de ML & MLOps,Introdução prática ao Machine Learning usando plataformas low-code. IA e MLOps,31,,,A Ler,31
4,5,"Pai Rico, Pai Pobre",Robert Kiyosaki,1997,Não Técnico,4 - Alta,1,Estante,Liberdade Econômica & Finanças,Fundamentos de educação financeira e investimentos.,23,,,A Ler,23
5,6,Generative Deep Learning,David Foster,2023,Técnico,4 - Alta,1,PDF,Sistemas de IA & LLMs,,32,,,A Ler,32
6,7,Simple SQL,Preston Prescott,2015,Técnico,4 - Alta,1,PDF,Storytelling & Visualização,"O domínio de SQL é uma habilidade fundamental para qualquer profissional de dados, análise ou desenvolvimento. Este livro proporciona uma base para manipular e extrair informações, sendo crucial no seu dia a dia.",26,,,A Ler,26
7,8,Image classification with AutoKeras,Manning live project,,Técnico,4 - Alta,1,,Machine learning,,14,,,A Ler,14
8,9,Think Stats,Allen B. Downey,2025,Técnico,4 - Alta,1,PDF,Estatística & Incerteza,https://allendowney.github.io/ThinkStats/index.html,30,,,A Ler,30
9,10,Machine Learning Yearning,Andrew Ng,2018,Técnico,4 - Alta,1,PDF,Sistemas de IA & LLMs,Dominar os pilares fundamentais da inteligência artificial moderna.,30,,,A Ler,30
10,11,Automated machine learning in action,Qingquan Song et al.,,Técnico,4 - Alta,1,,Engenharia de ML & MLOps,Dominar os pilares fundamentais da inteligência artificial moderna.,22,,,A Ler,22
11,12,Sobre a escrita: A arte em memórias ,Stephen King,2015,Não Técnico,4 - Alta,1,,Épicos & Ficção Reflexiva,Explorar a fronteira tecnológica e seus impactos na sociedade.,26,,,A Ler,26
12,13,"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow",Aurélien Géron,2022,Técnico,4 - Alta,1,,Machine learning,"Complementa o ""Deep Learning with Python"" do Chollet, oferecendo uma visão mais ampla e prática de ML em geral, com foco em implementação. Essencial para quem quer aplicar ML de forma eficaz.",23,,,A Ler,23
13,14,Deep Learning,Ian Goodfellow & Yoshua Bengio & Aaron Courville,2016,Técnico,4 - Alta,1,PDF,Sistemas de IA & LLMs,,30,,,A Ler,30
14,15,Machine Learning Engineering,Andriy Burkov,2020,Técnico,4 - Alta,1,,Sistemas de IA & LLMs,Aprofundar em engenharia de Machine Learning para produção.,30,,,A Ler,30
15,16,Transformers for Natural Language Processing,Denis Rothman,2024,Técnico,3 - Média-Alta,1,PDF,Sistemas de IA & LLMs,,29,,,A Ler,29
16,17,Sapiens: Uma Breve História da Humanidade,Yuval Noah Harari,2011,Não Técnico,4 - Alta,1,,Cosmologia & Fronteiras da Ciência,Ampla perspectiva sobre a história da humanidade e o futuro.,27,,,A Ler,27
17,18,An Introduction to Statistical Learning,Gareth James,2023,Técnico,4 - Alta,1,PDF,Estatística & Incerteza,https://www.statlearning.com/,30,,,A Ler,30
18,19,Eloquent JavaScript,Marijn Haverbeke,2024,Técnico,4 - Alta,1,,Artesanato de Software (Clean Code),https://eloquentjavascript.net/,29,,,A Ler,29
